index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,8409.349615204672,21370.597111815263
0,polygon,1,8389.667877891685,21344.764831591965
0,polygon,2,8369.986140578698,21302.94113980187
0,polygon,3,8358.915163340142,21282.02929390682
0,polygon,4,8353.994729011896,21269.728208086206
0,polygon,5,8351.534511847773,21257.427122265588
0,polygon,6,8347.844186101587,21215.60343047549
0,polygon,7,8347.844186101587,21156.55821853653
0,polygon,8,8352.764620429834,21135.64637264148
0,polygon,9,8363.835597668389,21111.044201000248
0,polygon,10,8378.596900653129,21086.442029359016
0,polygon,11,8405.659289458486,21034.777468912424
0,polygon,12,8422.88080960735,21005.254862942944
0,polygon,13,8438.872221174151,20985.57312562996
0,polygon,14,8452.40341557683,20972.04193122728
0,polygon,15,8486.846455874556,20944.979542421923
0,polygon,16,8499.147541695173,20932.678456601305
0,polygon,17,8538.511016321147,20903.155850631825
0,polygon,18,8587.715359603613,20860.102050259666
0,polygon,19,8612.317531244847,20841.650421528742
0,polygon,20,8634.459485721958,20823.198792797815
0,polygon,21,8657.831548781129,20812.127815559263
0,polygon,22,8673.82296034793,20805.977272648954
0,polygon,23,8709.496109227719,20798.596621156583
0,polygon,24,8784.532732733482,20791.215969664212
0,polygon,25,8836.197293180072,20789.98586108215
0,polygon,26,8869.410224895737,20787.525643918027
0,polygon,27,8945.676956983561,20787.525643918027
0,polygon,28,8983.810323027472,20791.215969664212
0,polygon,29,9003.492060340459,20794.906295410397
0,polygon,30,9021.943689071384,20801.056838320706
0,polygon,31,9036.704992056124,20809.66759839514
0,polygon,32,9050.236186458804,20820.73857563369
0,polygon,33,9090.829769666838,20868.7128103341
0,polygon,34,9109.281398397763,20895.775199139454
0,polygon,35,9117.892158472196,20912.99671928832
0,polygon,36,9122.812592800441,20925.297805108934
0,polygon,37,9131.423352874874,20937.598890929552
0,polygon,38,9146.184655859613,20974.502148391402
0,polygon,39,9154.795415934046,21004.024754360882
0,polygon,40,9173.247044664971,21054.459206225412
0,polygon,41,9181.857804739402,21097.513006597568
0,polygon,42,9183.087913321464,21112.27430958231
0,polygon,43,9183.087913321464,21127.03561256705
0,polygon,44,9185.548130485588,21170.089412939207
0,polygon,45,9185.548130485588,21187.310933088072
0,polygon,46,9181.857804739402,21240.205602116723
0,polygon,47,9176.937370411155,21274.64864241445
0,polygon,48,9162.176067426415,21301.71103121981
0,polygon,49,9109.281398397763,21369.3670032332
0,polygon,50,9088.369552502714,21393.969174874434
0,polygon,51,9072.378140935913,21407.500369277113
0,polygon,52,9057.616837951173,21418.571346515666
0,polygon,53,9042.855534966433,21433.332649500408
0,polygon,54,9019.48347190726,21453.014386813393
0,polygon,55,9007.182386086644,21465.31547263401
0,polygon,56,8985.040431609534,21483.767101364934
0,polygon,57,8973.96945437098,21491.147752857305
0,polygon,58,8950.597391311807,21510.829490170294
0,polygon,59,8932.145762580883,21524.36068457297
0,polygon,60,8907.54359093965,21537.89187897565
0,polygon,61,8884.171527880477,21548.962856214202
0,polygon,62,8866.950007731613,21556.343507706573
0,polygon,63,8848.498379000688,21561.26394203482
0,polygon,64,8807.904795792654,21563.724159198944
0,polygon,65,8771.001538330804,21562.494050616882
0,polygon,66,8737.788606615139,21558.803724870697
0,polygon,67,8711.956326391843,21557.573616288635
0,polygon,68,8600.016445424231,21547.732747632144
0,polygon,69,8577.87449094712,21542.812313303897
0,polygon,70,8552.042210723825,21535.431661811526
0,polygon,71,8536.050799157023,21526.820901737094
0,polygon,72,8524.979821918469,21516.9800330806
0,polygon,73,8501.607758859296,21492.377861439367
0,polygon,74,8481.92602154631,21464.08536405195
0,polygon,75,8458.553958487139,21427.1821065901
0,polygon,76,8449.943198412706,21417.341237933604
0,polygon,77,8427.801243935595,21384.12830621794
0,polygon,78,8417.960375279103,21374.28743756145
0,polygon,79,8410.579723786732,21363.216460322892
1,polygon,0,7125.032766717387,21838.857644534797
1,polygon,1,7117.652115225017,21752.750043790482
1,polygon,2,7115.191898060893,21692.474723269457
1,polygon,3,7112.73168089677,21659.261791553792
1,polygon,4,7116.422006642955,21639.580054240807
1,polygon,5,7122.572549553263,21624.818751256065
1,polygon,6,7142.25428686625,21600.216579614833
1,polygon,7,7165.626349925422,21574.38429939154
1,polygon,8,7187.7683044025325,21553.472453496488
1,polygon,9,7207.450041715519,21542.401476257935
1,polygon,10,7240.662973431185,21515.33908745258
1,polygon,11,7257.884493580048,21503.03800163196
1,polygon,12,7287.407099549528,21489.50680722928
1,polygon,13,7303.398511116329,21480.896047154853
1,polygon,14,7331.691008503748,21474.745504244544
1,polygon,15,7362.44372305529,21472.28528708042
1,polygon,16,7382.125460368276,21468.594961334235
1,polygon,17,7403.037306263325,21462.444418423926
1,polygon,18,7433.790020814868,21455.063766931555
1,polygon,19,7452.241649545792,21447.683115439184
1,polygon,20,7476.843821187025,21442.76268111094
1,polygon,21,7492.835232753828,21441.53257252888
1,polygon,22,7530.968598797739,21441.53257252888
1,polygon,23,7570.332073423713,21442.76268111094
1,polygon,24,7591.243919318761,21445.222898275064
1,polygon,25,7626.91706819855,21447.683115439184
1,polygon,26,7684.732171555449,21458.75409267774
1,polygon,27,7708.1042346146205,21464.90463558805
1,polygon,28,7752.388143568841,21478.43582999073
