index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,9572.221136777776,13110.531448303082
0,polygon,1,9571.223300384201,13011.745645339122
0,polygon,2,9573.218973171352,12991.788917467617
0,polygon,3,9582.19950071353,12966.843007628233
0,polygon,4,9588.186519074981,12952.873298118178
0,polygon,5,9608.143246946489,12922.938206310917
0,polygon,6,9615.128101701515,12913.95767876874
0,polygon,7,9623.110792850119,12898.990132865109
0,polygon,8,9627.10213842442,12889.011768929357
0,polygon,9,9634.086993179448,12878.035568600028
0,polygon,10,9656.039393838106,12860.07451351567
0,polygon,11,9667.015594167433,12853.089658760644
0,polygon,12,9685.974485645365,12847.102640399191
0,polygon,13,9706.929049910448,12842.113458431315
0,polygon,14,9743.848996472734,12838.122112857014
0,polygon,15,9785.7581250029,12837.124276463439
0,polygon,16,9796.734325332229,12836.126440069864
0,polygon,17,9818.686725990885,12836.126440069864
0,polygon,18,9832.65643550094,12837.124276463439
0,polygon,19,9857.602345340325,12843.11129482489
0,polygon,20,9871.57205485038,12849.098313186343
0,polygon,21,9895.520128296186,12865.063695483548
0,polygon,22,9909.489837806243,12880.031241387178
0,polygon,23,9921.463874529145,12891.007441716507
0,polygon,24,9929.446565677748,12903.979314832986
0,polygon,25,9935.433584039201,12915.95335155589
0,polygon,26,9941.420602400653,12933.914406640246
0,polygon,27,9947.407620762106,12979.814880744712
0,polygon,28,9948.40545715568,12997.775935829068
0,polygon,29,9948.40545715568,13024.717518455602
0,polygon,30,9953.394639123557,13074.609338134369
0,polygon,31,9954.392475517132,13099.555247973753
0,polygon,32,9952.396802729982,13116.518466664533
0,polygon,33,9950.401129942831,13126.496830600287
0,polygon,34,9942.418438794228,13144.457885684644
0,polygon,35,9923.459547316297,13164.41461355615
0,polygon,36,9908.492001412666,13176.388650279054
0,polygon,37,9896.517964689763,13183.373505034082
0,polygon,38,9875.56340042468,13192.354032576259
0,polygon,39,9864.587200095351,13198.341050937712
0,polygon,40,9847.623981404571,13209.31725126704
0,polygon,41,9838.643453862393,13216.302106022067
0,polygon,42,9824.673744352338,13222.28912438352
0,polygon,43,9786.755961396475,13245.239361435753
0,polygon,44,9772.78625188642,13251.226379797205
0,polygon,45,9749.836014834187,13259.209070945808
0,polygon,46,9734.868468930557,13263.200416520109
0,polygon,47,9723.892268601228,13265.19608930726
0,polygon,48,9697.94852236827,13265.19608930726
0,polygon,49,9682.98097646464,13262.202580126534
0,polygon,50,9671.006939741736,13257.213398158658
0,polygon,51,9648.056702689502,13242.245852255026
0,polygon,52,9625.10646563727,13223.286960777095
0,polygon,53,9615.128101701515,13212.310760447766
0,polygon,54,9605.149737765763,13197.343214544137
0,polygon,55,9593.17570104286,13174.392977491903
0,polygon,56,9583.197337107105,13152.440576833245
0,polygon,57,9575.214645958502,13129.490339781014
0,polygon,58,9573.218973171352,13118.514139451685
1,polygon,0,10297.64819490705,11169.739662799042
1,polygon,1,10252.74555719616,11031.04040409207
1,polygon,2,10250.749884409008,11013.079349007714
1,polygon,3,10236.780174898953,10965.183202116097
1,polygon,4,10234.784502111803,10942.232965063864
1,polygon,5,10234.784502111803,10922.276237192358
1,polygon,6,10232.788829324652,10877.373599481467
1,polygon,7,10232.788829324652,10790.561833240412
1,polygon,8,10231.790992931077,10738.674340774494
1,polygon,9,10233.786665718228,10683.793339127851
1,polygon,10,10238.775847686104,10658.847429288468
1,polygon,11,10245.760702441132,10635.897192236234
1,polygon,12,10251.747720802585,10620.929646332605
1,polygon,13,10257.734739164036,10611.949118790426
1,polygon,14,10275.695794248391,10595.983736493221
1,polygon,15,10289.665503758446,10587.003208951042
1,polygon,16,10306.628722449228,10580.018354196016
1,polygon,17,10316.607086384982,10575.029172228138
1,polygon,18,10377.475106393076,10562.057299111659
1,polygon,19,10391.44481590313,10556.070280750208
1,polygon,20,10404.41668901961,10552.078935175907
1,polygon,21,10458.29985427268,10542.100571240153
1,polygon,22,10482.247927718488,10536.1135528787
1,polygon,23,10517.172201493624,10529.128698123674
1,polygon,24,10533.13758379083,10525.137352549373
1,polygon,25,10551.098638875186,10524.139516155796
1,polygon,26,10580.03589428887,10524.139516155796
1,polygon,27,10606.977476915405,10523.14167976222
1,polygon,28,10659.8628057749,10523.14167976222
1,polygon,29,10677.823860859255,10524.139516155796
1,polygon,30,10711.750298240817,10529.128698123674
1,polygon,31,10723.724334963721,10532.1222073044
1,polygon,32,10740.687553654501,10540.104898453003
1,polygon,33,10774.613991036063,10562.057299111659
1,polygon,34,10859.430084489966,10623.92315551333
1,polygon,35,10872.401957606446,10634.89935584266
1,polygon,36,10898.345703839404,10667.827956830646
1,polygon,37,10911.317576955884,10681.7976663407
1,polygon,38,10917.304595317337,10692.77386667003
1,polygon,39,10932.272141220967,10713.72843093511
1,polygon,40,10947.239687124596,10738.674340774494
1,polygon,41,10978.172615325433,10803.533706356891
1,polygon,42,11014.094725494146,10893.338981778674
1,polygon,43,11024.073089429898,10936.245946702413
1,polygon,44,11027.066598610625,10957.200510967496
1,polygon,45,11027.066598610625,11061.973332292906
1,polygon,46,11024.073089429898,11089.912751313015
1,polygon,47,11022.077416642747,11120.84567951385
1,polygon,48,11015.09256188772,11148.785098533961
1,polygon,49,11004.116361558392,11169.739662799042
1,polygon,50,10972.18559696398,11225.618500839262
1,polygon,51,10959.2137238475,11238.590373955742
1,polygon,52,10935.265650401692,11260.542774614398
1,polygon,53,10915.308922530186,11280.499502485905
1,polygon,54,10898.345703839404,11295.467048389535
1,polygon,55,10826.501483501981,11353.341559216906
1,polygon,56,10797.564228088295,11373.298287088412
1,polygon,57,10767.629136281035,11391.259342172769
1,polygon,58,10731.707026112323,11409.220397257124
1,polygon,59,10710.752461847242,11415.207415618577
1,polygon,60,10687.802224795008,11419.198761192878
1,polygon,61,10576.04454871457,11419.198761192878
1,polygon,62,10549.102966088036,11417.203088405728
1,polygon,63,10495.219800834968,11408.222560863549
1,polygon,64,10471.27172738916,11402.235542502098
1,polygon,65,10437.345290007597,11391.259342172769
1,polygon,66,10418.386398529667,11381.280978237015
1,polygon,67,10408.408034593913,11375.293959875562
1,polygon,68,10394.438325083858,11359.328577578357
1,polygon,69,10383.46212475453,11343.363195281152
1,polygon,70,10372.4859244252,11323.406467409644
1,polygon,71,10364.503233276597,11312.430267080315
1,polygon,72,10349.535687372967,11286.486520847357
1,polygon,73,10342.55083261794,11269.523302156576
1,polygon,74,10334.568141469337,11257.549265433672
1,polygon,75,10322.594104746433,11228.612010019988
1,polygon,76,10314.61141359783,11191.6920634577
1,polygon,77,10308.624395236378,11174.72884476692
2,polygon,0,11775.181766848895,6844.157387409259
2,polygon,1,11768.196912093868,6772.313167071834
2,polygon,2,11768.196912093868,6691.488419192232
2,polygon,3,11775.181766848895,6657.56198181067
2,polygon,4,11793.142821933252,6618.646362461232
2,polygon,5,11808.110367836882,6589.709107047546
2,polygon,6,11828.067095708388,6542.8107965495055
2,polygon,7,11838.045459644141,6525.847577858724
2,polygon,8,11863.9892058771,6491.921140477163
2,polygon,9,11888.935115716484,6469.968739818506
2,polygon,10,11927.850735065922,6453.005521127725
2,polygon,11,11952.796644905306,6446.020666372698
2,polygon,12,11991.712264254744,6438.037975224095
2,polygon,13,12043.599756720661,6429.0574476819165
2,polygon,14,12079.521866889374,6415.087738171862
2,polygon,15,12100.476431154457,6405.109374236108
2,polygon,16,12143.383396078196,6400.120192268232
2,polygon,17,12211.23627084132,6400.120192268232
2,polygon,18,12223.210307564224,6401.118028661807
2,polygon,19,12280.086981998018,6424.06826571404
2,polygon,20,12332.97231085751,6443.027157191971
2,polygon,21,12364.903075451923,6460.988212276327
2,polygon,22,12387.853312504154,6476.953594573533
2,polygon,23,12395.836003652757,6485.934122115711
2,polygon,24,12399.827349227058,6499.903831625766
2,polygon,25,12403.81869480136,6527.843250645876
2,polygon,26,12407.810040375662,6669.536018533574
2,polygon,27,12408.807876769237,6749.362930019601
2,polygon,28,12409.805713162812,6785.285040188313
2,polygon,29,12411.801385949962,6810.230950027697
2,polygon,30,12411.801385949962,6824.200659537752
2,polygon,31,12410.803549556387,6834.179023473505
2,polygon,32,12406.812203982086,6846.15306019641
