index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,10427.342944675434,17471.176893715467
0,polygon,1,10405.756101144838,17397.781625711443
0,polygon,2,10397.1213637326,17341.65583253189
0,polygon,3,10401.438732438719,17298.4821454707
0,polygon,4,10444.61241949991,17246.67372099727
0,polygon,5,10487.786106561101,17207.8174026422
0,polygon,6,10543.911899740651,17164.64371558101
0,polygon,7,10582.768218095724,17143.056872050412
0,polygon,8,10647.52874868751,17138.739503344295
0,polygon,9,10785.684547283321,17138.739503344295
0,polygon,10,10837.49297175675,17143.056872050412
0,polygon,11,10889.30139623018,17160.326346874892
0,polygon,12,10949.744558115846,17203.50003393608
0,polygon,13,10992.91824517704,17250.99108970339
0,polygon,14,11014.505088707634,17289.847408058464
0,polygon,15,11040.40930094435,17350.290569944133
0,polygon,16,11053.361407062706,17397.781625711443
0,polygon,17,11066.313513181063,17449.59005018487
0,polygon,18,11074.948250593301,17557.52426783785
0,polygon,19,11079.265619299422,17600.69795489904
0,polygon,20,11074.948250593301,17661.141116784707
0,polygon,21,11074.948250593301,17725.901647376493
0,polygon,22,11044.726669650468,17794.9795466744
0,polygon,23,10954.061926821967,17838.153233735593
0,polygon,24,10876.349290111822,17859.740077266186
0,polygon,25,10802.954022107797,17877.00955209066
0,polygon,26,10755.462966340487,17881.326920796782
0,polygon,27,10699.337173160939,17881.326920796782
0,polygon,28,10656.163486099747,17877.00955209066
0,polygon,29,10595.72032421408,17851.105339853948
0,polygon,30,10526.642424916174,17799.29691538052
0,polygon,31,10487.786106561101,17764.757965731565
0,polygon,32,10444.61241949991,17704.3148038459
0,polygon,33,10427.342944675434,17643.87164196023
0,polygon,34,10410.073469850959,17544.57216171949
0,polygon,35,10405.756101144838,17488.446368539942
