index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,7675.73620913096,13346.174764846483
0,polygon,1,7672.044773962922,13317.873761891526
0,polygon,2,7672.044773962922,13279.728931821799
0,polygon,3,7673.275252352268,13267.42414792834
0,polygon,4,7685.580036245728,13258.810799202916
0,polygon,5,7697.884820139188,13253.888885645532
0,polygon,6,7712.65056081134,13246.506015309456
0,polygon,7,7738.490606987607,13237.892666584034
0,polygon,8,7781.5573506147175,13230.509796247958
0,polygon,9,7800.014526454907,13229.279317858613
0,polygon,10,7830.776486188558,13223.126925911882
0,polygon,11,7861.538445922208,13213.283098797114
0,polygon,12,7902.144232770626,13204.669750071691
0,polygon,13,7937.828106061661,13199.747836514307
0,polygon,14,7957.515760291197,13199.747836514307
0,polygon,15,7984.5862848568095,13204.669750071691
0,polygon,16,8043.649247545418,13223.126925911882
0,polygon,17,8057.184509828225,13229.279317858613
0,polygon,18,8069.489293721685,13236.662188194688
0,polygon,19,8080.5635992257985,13253.888885645532
0,polygon,20,8087.946469561874,13272.346061485723
0,polygon,21,8092.868383119259,13298.186107661988
0,polygon,22,8097.790296676643,13340.022372899753
0,polygon,23,8101.481731844681,13359.71002712929
0,polygon,24,8102.712210234027,13405.237727535092
0,polygon,25,8102.712210234027,13424.925381764628
0,polygon,26,8100.251253455335,13450.765427940894
0,polygon,27,8096.559818287296,13471.683560559777
0,polygon,28,8089.17694795122,13492.60169317866
0,polygon,29,8073.180728889723,13514.750304186888
0,polygon,30,8046.11020432411,13549.203699088575
0,polygon,31,8025.192071705228,13568.891353318111
0,polygon,32,7987.047241635501,13611.958096945222
0,polygon,33,7971.051022574004,13624.262880838683
0,polygon,34,7956.285281901851,13631.64575117476
0,polygon,35,7941.519541229699,13637.798143121488
0,polygon,36,7929.214757336239,13639.028621510835
0,polygon,37,7915.679495053433,13640.25909990018
0,polygon,38,7898.452797602588,13639.028621510835
0,polygon,39,7884.9175353197825,13636.567664732143
0,polygon,40,7852.925097196786,13624.262880838683
0,polygon,41,7822.163137463135,13607.036183387838
0,polygon,42,7790.170699340139,13586.118050768957
0,polygon,43,7750.795390881067,13549.203699088575
0,polygon,44,7742.182042155645,13536.898915195115
0,polygon,45,7734.799171819568,13513.51982579754
0,polygon,46,7728.646779872838,13497.523606736044
0,polygon,47,7724.9553447048,13482.75786606389
0,polygon,48,7708.959125643302,13437.230165658088
0,polygon,49,7694.19338497115,13404.007249145747
0,polygon,50,7673.275252352268,13335.10045934237
1,polygon,0,7302.901257159118,15190.661870476159
1,polygon,1,7296.748865212388,15168.51325946793
1,polygon,2,7294.287908433696,15145.134170070356
1,polygon,3,7295.5183868230415,15062.692117984174
1,polygon,4,7300.440300380426,15046.695898922675
1,polygon,5,7317.66699783127,15030.699679861176
1,polygon,6,7333.663216892768,15017.164417578371
1,polygon,7,7348.428957564921,15007.320590463603
1,polygon,8,7359.503263069035,14998.70724173818
1,polygon,9,7374.269003741187,14990.093893012758
1,polygon,10,7389.0347444133395,14982.711022676682
1,polygon,11,7421.027182536335,14972.867195561914
1,polygon,12,7437.023401597834,14971.636717172569
1,polygon,13,7475.16823166756,14970.406238783222
1,polygon,14,7550.227413417667,14970.406238783222
1,polygon,15,7574.836981204588,14977.789109119298
1,polygon,16,7593.294157044777,14987.632936234066
1,polygon,17,7609.290376106275,14997.476763348834
1,polygon,18,7620.36468161039,15007.320590463603
1,polygon,19,7628.978030335812,15017.164417578371
1,polygon,20,7640.052335839926,15033.160636639868
1,polygon,21,7649.896162954694,15051.617812480059
1,polygon,22,7656.048554901425,15070.07498832025
1,polygon,23,7663.431425237501,15097.145512885862
1,polygon,24,7665.892382016193,15109.450296779321
1,polygon,25,7668.353338794885,15130.368429398204
1,polygon,26,7668.353338794885,15145.134170070356
1,polygon,27,7670.814295573577,15173.435173025315
1,polygon,28,7670.814295573577,15190.661870476159
1,polygon,29,7667.122860405539,15210.349524705694
1,polygon,30,7657.27903329077,15244.802919607384
1,polygon,31,7642.513292618618,15282.94774967711
1,polygon,32,7632.66946550385,15297.713490349262
1,polygon,33,7612.981811274314,15323.553536525527
1,polygon,34,7600.677027380853,15335.858320418989
1,polygon,35,7580.9893731513175,15346.932625923102
1,polygon,36,7566.223632479165,15351.854539480486
1,polygon,37,7533.000715966823,15356.77645303787
1,polygon,38,7485.0120587823285,15356.77645303787
1,polygon,39,7464.093926163446,15354.315496259178
1,polygon,40,7445.636750323256,15350.62406109114
1,polygon,41,7422.257660925681,15343.241190755065
1,polygon,42,7390.2652228026855,15328.475450082913
1,polygon,43,7359.503263069035,15297.713490349262
1,polygon,44,7317.66699783127,15242.341962828692
1,polygon,45,7307.823170716502,15226.345743767193
1,polygon,46,7295.5183868230415,15202.966654369618
2,polygon,0,9437.144175143487,17311.05354583666
2,polygon,1,9437.144175143487,17271.863545712993
2,polygon,2,9434.838881018564,17225.757663214565
2,polygon,3,9432.533586893644,17198.094133715505
2,polygon,4,9432.533586893644,17165.820015966605
2,polygon,5,9450.975939893016,17105.882368718645
2,polygon,6,9464.807704642544,17082.82942746943
2,polygon,7,9487.86064589176,17066.69236859498
2,polygon,8,9508.608293016054,17055.16589797037
2,polygon,9,9540.882410764954,17045.944721470685
2,polygon,10,9568.545940264012,17036.723544971
2,polygon,11,9610.041234512599,17027.502368471316
2,polygon,12,9667.673587635638,17015.975897846707
2,polygon,13,9746.053587882969,17002.14413309718
2,polygon,14,9808.29652925585,16997.533544847334
2,polygon,15,9909.729470752396,16997.533544847334
2,polygon,16,9948.91947087606,17002.14413309718
2,polygon,17,9974.277706250197,17009.060015471943
2,polygon,18,10008.85711812402,17027.502368471316
2,polygon,19,10022.68888287355,17052.860603845453
2,polygon,20,10036.520647623078,17096.66119221896
2,polygon,21,10041.131235872921,17142.76707471739
2,polygon,22,10043.436529997844,17186.5676630909
2,polygon,23,10043.436529997844,17218.8417808398
2,polygon,24,10038.825941748,17258.031780963465
2,polygon,25,10013.467706373864,17306.442957586816
2,polygon,26,9992.72005924957,17331.801192960953
2,polygon,27,9965.056529750513,17350.243545960326
2,polygon,28,9923.561235501924,17368.6858989597
2,polygon,29,9893.592411877944,17380.212369584304
2,polygon,30,9799.075352756163,17398.654722583677
2,polygon,31,9702.25299950946,17403.26531083352
2,polygon,32,9656.14711701103,17403.26531083352
2,polygon,33,9626.17829338705,17405.57060495844
2,polygon,34,9582.377705013541,17403.26531083352
2,polygon,35,9550.10358726464,17403.26531083352
2,polygon,36,9524.745351890504,17398.654722583677
2,polygon,37,9499.387116516367,17391.738840208913
2,polygon,38,9478.639469392074,17370.991193084617
2,polygon,39,9457.89182226778,17329.49589883603
2,polygon,40,9446.365351643173,17297.22178108713
3,polygon,0,15856.08580167102,19743.57684111033
3,polygon,1,15833.645768500272,19708.046788589978
3,polygon,2,15822.425751914898,19666.906727776935
3,polygon,3,15818.68574638644,19638.856686313502
3,polygon,4,15818.68574638644,19601.45663102892
3,polygon,5,15816.81574362221,19569.666584037022
3,polygon,6,15818.68574638644,19545.356548102045
3,polygon,7,15824.295754679126,19511.696498345922
3,polygon,8,15826.165757443356,19492.99647070363
3,polygon,9,15829.905762971814,19472.42644029711
3,polygon,10,15844.865785085647,19438.766390540986
3,polygon,11,15861.695809963709,19412.58635184178
3,polygon,12,15899.09586524829,19369.57628826451
3,polygon,13,15915.925890126351,19356.48626891491
3,polygon,14,15934.625917768642,19349.006257857993
3,polygon,15,15958.935953703622,19343.396249565303
3,polygon,16,15979.505984110141,19339.656244036847
3,polygon,17,16000.07601451666,19339.656244036847
3,polygon,18,16026.256053215868,19341.526246801073
3,polygon,19,16054.306094679305,19345.266252329533
3,polygon,20,16127.236202484239,19371.44629102874
3,polygon,21,16166.50626053305,19386.406313142572
3,polygon,22,16213.256329638778,19416.32635737024
3,polygon,23,16252.526387687589,19461.206423711737
3,polygon,24,16288.056440207942,19515.43650387438
3,polygon,25,16308.626470614461,19558.44656745165
3,polygon,26,16316.106481671377,19586.496608915088
3,polygon,27,16317.976484435607,19612.676647614295
3,polygon,28,16323.586492728295,19653.816708427334
3,polygon,29,16325.456495492523,19687.476758183457
3,polygon,30,16325.456495492523,19775.366888102224
3,polygon,31,16321.716489964065,19809.026937858347
3,polygon,32,16312.366476142919,19837.076979321784
3,polygon,33,16284.316434679484,19870.737029077907
3,polygon,34,16256.266393216047,19895.047065012885
3,polygon,35,16220.736340695694,19911.87708989095
3,polygon,36,16198.296307524944,19921.22710371209
3,polygon,37,16164.636257768821,19930.577117533237
3,polygon,38,16073.006122321596,19936.187125825927
3,polygon,39,16039.346072565471,19936.187125825927
3,polygon,40,16005.686022809348,19928.70711476901
3,polygon,41,15970.155970288995,19911.87708989095
3,polygon,42,15934.625917768642,19885.69705119174
3,polygon,43,15889.745851427144,19842.68698761447
3,polygon,44,15869.175821020624,19812.766943386807
3,polygon,45,15837.38577402873,19751.056852167247
3,polygon,46,15813.075738093752,19698.696774768832
3,polygon,47,15801.855721508377,19678.12674436231
4,polygon,0,15173.534792727402,20095.1373607854
4,polygon,1,15152.964762320882,20082.047341435795
4,polygon,2,15138.004740207049,20055.867302736588
4,polygon,3,15128.654726385905,20033.42726956584
4,polygon,4,15124.914720857447,20009.11723363086
4,polygon,5,15128.654726385905,19969.84717558205
4,polygon,6,15145.484751263966,19943.667136882843
4,polygon,7,15158.57477061357,19928.70711476901
4,polygon,8,15175.404795491631,19900.657073305574
4,polygon,9,15205.324839719297,19866.99702354945
4,polygon,10,15231.504878418504,19848.29699590716
4,polygon,11,15248.334903296565,19838.946982086014
4,polygon,12,15274.514941995772,19825.85696273641
4,polygon,13,15298.824977930752,19810.896940622577
4,polygon,14,15328.745022158417,19797.806921272975
4,polygon,15,15347.445049800708,19788.45690745183
4,polygon,16,15366.145077443,19780.97689639491
4,polygon,17,15407.285138256038,19777.236890866454
4,polygon,18,15459.645215654453,19779.106893630684
4,polygon,19,15513.875295817097,19784.71690192337
4,polygon,20,15545.665342808992,19790.326910216056
4,polygon,21,15573.715384272427,19794.066915744515
4,polygon,22,15594.285414678949,19803.41692956566
4,polygon,23,15611.11543955701,19818.376951679493
4,polygon,24,15620.465453378156,19837.076979321784
4,polygon,25,15631.68546996353,19878.217040134823
4,polygon,26,15646.645492077363,19923.09710647632
4,polygon,27,15654.125503134279,20005.377228102403
4,polygon,28,15655.995505898509,20046.517288915442
4,polygon,29,15659.735511426967,20085.787346964255
4,polygon,30,15657.865508662737,20121.317399484607
4,polygon,31,15654.125503134279,20141.887429891125
4,polygon,32,15654.125503134279,20207.337526639145
4,polygon,33,15648.515494841591,20229.777559809892
4,polygon,34,15627.945464435072,20244.737581923728
4,polygon,35,15598.025420207407,20259.69760403756
4,polygon,36,15562.495367687054,20269.047617858705
4,polygon,37,15536.315328987846,20270.917620622935
4,polygon,38,15403.54513272758,20270.917620622935
4,polygon,39,15341.83504150802,20263.43760956602
