index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,19855.909117192426,16816.228414835972
0,polygon,1,19860.459373320155,16751.008077005208
0,polygon,2,19871.076637618185,16565.964327810947
0,polygon,3,19877.14364578849,16531.0790308317
0,polygon,4,19881.693901916216,16512.878006320792
0,polygon,5,19890.794414171673,16485.576469554424
0,polygon,6,19901.411678469703,16473.44245321382
0,polygon,7,19919.612702980612,16456.758180745484
0,polygon,8,19949.94774383213,16440.073908277147
0,polygon,9,19975.732528555924,16432.49014806427
0,polygon,10,20006.06756940744,16427.93989193654
0,polygon,11,20031.85235413123,16426.423139893963
0,polygon,12,20113.75696443033,16426.423139893963
0,polygon,13,20147.125509367,16429.456643979116
0,polygon,14,20185.044310431396,16437.040404191997
0,polygon,15,20213.86259924034,16441.59066031972
0,polygon,16,20250.264648262164,16449.174420532603
0,polygon,17,20298.80071362459,16464.341940958362
0,polygon,18,20320.035242220656,16476.475957298968
0,polygon,19,20341.269770816718,16493.160229767305
0,polygon,20,20359.470795327627,16512.878006320792
0,polygon,21,20380.705323923692,16538.662791044582
0,polygon,22,20391.322588221723,16558.38056759807
0,polygon,23,20398.9063484346,16585.682104364434
0,polygon,24,20403.45660456233,16603.883128875346
0,polygon,25,20406.490108647482,16655.452698322926
0,polygon,26,20406.490108647482,16752.524829047787
0,polygon,27,20395.87284434945,16804.094398495366
0,polygon,28,20386.772332093995,16838.979695474613
0,polygon,29,20376.155067795964,16860.214224070674
0,polygon,30,20351.88703511475,16885.999008794464
0,polygon,31,20321.55199426323,16905.71678534795
0,polygon,32,20298.80071362459,16917.85080168856
0,polygon,33,20277.56618502853,16926.951313944017
0,polygon,34,20241.164136006708,16939.085330284623
0,polygon,35,20221.44635945322,16948.18584254008
0,polygon,36,20201.728582899734,16960.319858880684
0,polygon,37,20172.91029409079,16975.487379306443
0,polygon,38,20134.99149302639,16998.238659945084
0,polygon,39,20104.656452174873,17010.37267628569
0,polygon,40,20062.18739498275,17020.98994058372
0,polygon,41,20019.718337790622,17024.023444668874
0,polygon,42,19980.28278468365,17024.023444668874
0,polygon,43,19943.880735661827,17013.406180370843
0,polygon,44,19925.67971115092,17004.305668115387
0,polygon,45,19907.478686640006,16984.5878915619
0,polygon,46,19889.277662129094,16958.80310683811
0,polygon,47,19875.626893745914,16913.300545560833
0,polygon,48,19863.492877405304,16858.6974720281
0,polygon,49,19858.942621277576,16817.74516687855
0,polygon,50,19857.425869235,16796.51063828249
0,polygon,51,19857.425869235,16779.82636581415
1,polygon,0,18914.006098752787,17486.632817654525
1,polygon,1,18903.388834454756,17518.484610548618
1,polygon,2,18880.637553816116,17574.604436123926
1,polygon,3,18856.3695211349,17624.65725352893
1,polygon,4,18835.13499253884,17651.9587902953
1,polygon,5,18813.900463942777,17674.710070933936
1,polygon,6,18777.498414920956,17708.078615870607
1,polygon,7,18750.196878154587,17721.72938425379
1,polygon,8,18724.412093430798,17732.346648551822
1,polygon,9,18694.07705257928,17741.447160807278
