index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,10381.213206644894,9188.098073264433
0,polygon,1,10358.477159812792,9108.521909352072
0,polygon,2,10349.951142250753,9023.261733731686
0,polygon,3,10349.951142250753,8969.263622505441
0,polygon,4,10364.161171520816,8920.949522987223
0,polygon,5,10406.79125933101,8875.477429323018
0,polygon,6,10455.105358849229,8852.741382490914
0,polygon,7,10500.577452513435,8835.689347366837
0,polygon,8,10548.891552031653,8830.005335658812
0,polygon,9,10597.205651549872,8830.005335658812
0,polygon,10,10625.62571009,8832.847341512825
0,polygon,11,10654.045768630129,8838.531353220851
0,polygon,12,10682.465827170257,8852.741382490914
0,polygon,13,10708.043879856374,8866.95141176098
0,polygon,14,10744.989955958541,8901.055482009133
0,polygon,15,10770.568008644655,8949.369581527351
0,polygon,16,10781.936032060708,9003.367692753596
0,polygon,17,10793.30405547676,9048.839786417802
0,polygon,18,10796.146061330772,9091.469874227996
0,polygon,19,10796.146061330772,9145.46798545424
0,polygon,20,10790.462049622747,9213.67612595055
0,polygon,21,10776.252020352682,9270.516243030806
0,polygon,22,10762.041991082617,9298.936301570935
0,polygon,23,10739.305944250515,9321.672348403037
0,polygon,24,10710.885885710386,9338.724383527115
0,polygon,25,10651.203762776116,9358.618424505205
0,polygon,26,10563.101581301717,9364.302436213231
0,polygon,27,10528.997511053563,9364.302436213231
0,polygon,28,10497.73544665942,9352.934412797178
0,polygon,29,10452.263352995215,9321.672348403037
0,polygon,30,10386.897218352919,9239.254178636664
0,polygon,31,10324.373089564637,9085.78586251997
0,polygon,32,10313.005066148586,9020.419727877674
