index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,19612.14479380518,12677.804868481851
0,polygon,1,19612.14479380518,12632.275369127468
0,polygon,2,19608.642524624072,12590.24813895419
0,polygon,3,19608.642524624072,12544.718639599807
0,polygon,4,19615.647062986285,12506.193678607637
0,polygon,5,19636.660678072923,12467.668717615465
0,polygon,6,19678.6879082462,12429.143756623294
0,polygon,7,19731.221945962796,12404.62787235555
0,polygon,8,19773.249176136072,12387.116526450018
0,polygon,9,19811.774137128246,12383.614257268911
0,polygon,10,19864.308174844842,12376.609718906697
0,polygon,11,19906.33540501812,12373.10744972559
0,polygon,12,19948.362635191395,12373.10744972559
0,polygon,13,20000.89667290799,12369.605180544484
0,polygon,14,20035.91936471906,12376.609718906697
0,polygon,15,20081.44886407344,12394.12106481223
0,polygon,16,20126.978363427825,12422.139218261082
0,polygon,17,20158.498786057782,12457.161910072145
0,polygon,18,20183.014670325527,12495.686871064318
0,polygon,19,20239.050977223233,12579.74133141087
0,polygon,20,20260.06459230987,12625.270830765256
0,polygon,21,20284.580476577616,12688.31167602517
0,polygon,22,20295.087284120935,12740.845713741768
0,polygon,23,20291.58501493983,12831.904712450536
0,polygon,24,20274.073669034296,12877.434211804919
0,polygon,25,20249.55778476655,12919.461441978197
0,polygon,26,20207.53055459327,12971.995479694793
0,polygon,27,20162.00105523889,13003.51590232475
0,polygon,28,20112.9692867034,13031.534055773602
0,polygon,29,20077.946594892335,13045.543132498029
0,polygon,30,20004.3989420891,13052.547670860242
0,polygon,31,19948.362635191395,13052.547670860242
0,polygon,32,19888.824059112587,13049.045401679135
0,polygon,33,19832.787752214885,13031.534055773602
0,polygon,34,19755.73783023054,12996.511363962538
0,polygon,35,19724.217407600583,12968.493210513687
0,polygon,36,19706.70606169505,12933.470518702623
0,polygon,37,19682.190177427306,12866.9274042616
0,polygon,38,19661.176562340668,12803.886559001683
0,polygon,39,19636.660678072923,12702.320752749598
0,polygon,40,19622.651601348498,12649.786715033
1,polygon,0,18692.03960396922,18470.620506828207
1,polygon,1,18680.823334158238,18438.84107569709
1,polygon,2,18671.476442649087,18418.277914376955
1,polygon,3,18665.868307743596,18397.71475305682
1,polygon,4,18662.129551139933,18375.282213434857
1,polygon,5,18658.390794536273,18328.5477558891
1,polygon,6,18658.390794536273,18300.507081361644
1,polygon,7,18662.129551139933,18272.466406834188
1,polygon,8,18671.476442649087,18242.556354004904
1,polygon,9,18682.69271246007,18223.8625709866
1,polygon,10,18688.30084736556,18203.299409666466
1,polygon,11,18697.64773887471,18178.997491742673
1,polygon,12,18703.255873780203,18158.434330422537
1,polygon,13,18714.472143591185,18134.132412498744
1,polygon,14,18731.29654830766,18106.09173797129
1,polygon,15,18753.72908792962,18083.659198349324
1,polygon,16,18778.031005853416,18066.83479363285
1,polygon,17,18794.85541056989,18057.4879021237
1,polygon,18,18813.54919358819,18050.010388916377
1,polygon,19,18867.76116434127,18035.055362501735
