index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,9799.805450711692,7596.746545111468
0,polygon,1,9838.339421011307,7572.224927648077
0,polygon,2,9869.867214892809,7544.20022197563
0,polygon,3,9911.90427340148,7512.672428094127
0,polygon,4,9943.432067282984,7467.1322813764
0,polygon,5,9960.947508328263,7435.604487494897
0,polygon,6,9985.469125791655,7397.070517195281
0,polygon,7,10031.009272509382,7358.536546895667
0,polygon,8,10062.537066390883,7341.021105850387
0,polygon,9,10111.580301317666,7334.014929432276
0,polygon,10,10157.120448035394,7330.5118412232205
0,polygon,11,10192.151330125953,7344.524194059443
0,polygon,12,10241.194565052734,7369.045811522835
0,polygon,13,10286.734711770461,7397.070517195281
0,polygon,14,10325.268682070076,7425.095222867729
0,polygon,15,10349.790299533468,7460.126104958288
0,polygon,16,10381.318093414971,7540.697133766574
0,polygon,17,10395.330446251195,7579.231104066189
0,polygon,18,10402.336622669307,7624.771250783915
0,polygon,19,10402.336622669307,7775.404043773319
0,polygon,20,10395.330446251195,7827.950366909157
0,polygon,21,10381.318093414971,7866.484337208773
0,polygon,22,10353.293387742524,7908.521395717444
0,polygon,23,10321.76559386102,7940.049189598947
0,polygon,24,10244.697653261792,7985.589336316673
0,polygon,25,10195.654418335009,7999.601689152896
0,polygon,26,10146.611183408226,7999.601689152896
0,polygon,27,10108.07721310861,7992.595512734785
0,polygon,28,10041.518537136548,7971.57698348045
0,polygon,29,10006.48765504599,7947.055366017058
0,polygon,30,9964.45059653732,7915.527572135556
0,polygon,31,9904.898096983368,7873.490513626884
0,polygon,32,9862.861038474697,7824.447278700101
0,polygon,33,9841.842509220362,7792.919484818598
0,polygon,34,9820.823979966028,7754.385514518984
1,polygon,0,11532.879202085587,9438.177139816817
1,polygon,1,11532.879202085587,9412.2281925571
1,polygon,2,11534.875274951719,9379.292990265923
1,polygon,3,11534.875274951719,9358.334225171538
1,polygon,4,11536.87134781785,9309.430439951306
1,polygon,5,11541.86152998318,9282.483456258524
1,polygon,6,11551.84189431384,9262.522727597205
1,polygon,7,11563.81833151063,9247.552181101215
1,polygon,8,11581.78298730582,9234.577707471357
1,polygon,9,11622.702481061524,9209.626796644709
1,polygon,10,11641.665173289777,9199.646432314048
1,polygon,11,11654.639646919635,9194.656250148719
1,polygon,12,11675.59841201402,9190.664104416455
1,polygon,13,11714.521832903592,9186.67195868419
1,polygon,14,11738.474707297177,9185.673922251124
1,polygon,15,11784.384383218212,9197.650359447916
1,polygon,16,11800.352966147268,9202.640541613246
1,polygon,17,11812.329403344058,9209.626796644709
1,polygon,18,11826.301913406982,9219.607160975367
1,polygon,19,11843.268532769103,9233.579671038291
1,polygon,20,11860.235152131225,9253.54039969961
1,polygon,21,11877.201771493346,9274.499164793997
1,polygon,22,11898.160536587733,9307.434367085174
1,polygon,23,11904.148755186128,9319.410804281964
1,polygon,24,11907.142864485326,9337.375460077152
