index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,18672.908155678353,12116.934944594994
0,polygon,1,18729.054574022233,12017.598973678896
0,polygon,2,18772.244126594447,11952.814644820573
0,polygon,3,18824.07158968111,11892.349271219471
0,polygon,4,18862.9421869961,11853.478673904476
0,polygon,5,18901.812784311096,11831.883897618369
0,polygon,6,18953.640247397754,11818.927031846702
0,polygon,7,19035.700397284967,11818.927031846702
0,polygon,8,19083.208905114403,11827.564942361147
0,polygon,9,19135.03636820106,11862.11658441892
0,polygon,10,19173.906965516057,11922.581958020022
0,polygon,11,19195.501741802163,11965.771510592238
0,polygon,12,19208.45860757383,12017.598973678896
0,polygon,13,19212.777562831052,12060.788526251112
0,polygon,14,19212.777562831052,12129.891810366658
0,polygon,15,19208.45860757383,12186.038228710539
0,polygon,16,19204.139652316608,12229.227781282754
0,polygon,17,19165.269055001612,12294.012110141079
0,polygon,18,19135.03636820106,12332.882707456072
0,polygon,19,19091.846815628847,12354.477483742181
0,polygon,20,19022.7435315133,12376.07226002829
0,polygon,21,18910.45069482554,12376.07226002829
0,polygon,22,18862.9421869961,12363.115394256623
0,polygon,23,18811.114723909443,12341.520617970516
0,polygon,24,18763.606216080007,12298.3310653983
0,polygon,25,18742.011439793896,12237.865691797198
0,polygon,26,18733.373529279455,12134.21076562388
