index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,2642.9388942724872,16853.38872794378
0,polygon,1,2603.2785145118232,16779.73373695969
0,polygon,2,2563.618134751159,16711.744514512837
0,polygon,3,2552.2865976766834,16638.089523528746
0,polygon,4,2563.618134751159,16553.10299547018
0,polygon,5,2631.607357198012,16366.132633741334
0,polygon,6,2739.2569594055294,16343.469559592382
0,polygon,7,2841.240793075809,16343.469559592382
0,polygon,8,2931.893089671613,16366.132633741334
0,polygon,9,3005.5480806557034,16400.12724496476
0,polygon,10,3084.8688401770323,16434.121856188187
0,polygon,11,3152.8580626238854,16490.779541560565
0,polygon,12,3181.1869053100745,16689.081440363887
0,polygon,13,3175.521136772836,16796.731042571402
0,polygon,14,3169.8553682355987,16870.386033555493
0,polygon,15,3158.523831161123,16932.70948746511
0,polygon,16,3130.1949884749347,16995.032941374724
0,polygon,17,3073.5373031025565,17051.690626747102
0,polygon,18,2999.882312118466,17068.687932358815
0,polygon,19,2931.893089671613,17051.690626747102
0,polygon,20,2869.5696357619977,17046.024858209865
0,polygon,21,2790.2488762406692,17040.359089672627
0,polygon,22,2722.259653793816,17029.027552598152
0,polygon,23,2648.604662809725,16966.704098688537
1,polygon,0,3107.531914325983,19652.278385339232
1,polygon,1,3056.5399974908432,19578.62339435514
1,polygon,2,3039.54269187913,19516.299940445526
1,polygon,3,3039.54269187913,19402.98456970077
1,polygon,4,3050.874228953606,19340.661115791154
1,polygon,5,3084.8688401770323,19250.00881919535
1,polygon,6,3124.5292199376963,19204.682670897448
1,polygon,7,3186.852673847312,19159.356522599548
1,polygon,8,3243.5103592196892,19136.6934484506
1,polygon,9,3424.814952411298,19136.6934484506
1,polygon,10,3572.12493437948,19182.019596748498
1,polygon,11,3668.442999512521,19210.34843943469
1,polygon,12,3742.0979904966125,19244.343050658113
1,polygon,13,3764.7610646455632,19306.66650456773
1,polygon,14,3764.7610646455632,19521.965708982763
1,polygon,15,3708.103379273186,19589.954931429616
1,polygon,16,3640.114156826333,19606.952237041332
1,polygon,17,3583.4564714539547,19635.28107972752
1,polygon,18,3521.13301754434,19663.609922413707
1,polygon,19,3419.1491838740603,19703.270302174373
1,polygon,20,3356.8257299644447,19720.267607786085
1,polygon,21,3260.5076648314025,19714.601839248848
1,polygon,22,3203.8499794590252,19686.272996562657
