index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,16627.972465913062,13306.759021867567
0,polygon,1,16653.544540678828,13159.00925655425
0,polygon,2,16673.433932163312,13087.975715538232
0,polygon,3,16696.164665288437,13042.51424928798
0,polygon,4,16713.212715132282,13016.942174522215
0,polygon,5,16741.62613153869,13002.73546631901
0,polygon,6,16784.2462561483,12994.211441397088
0,polygon,7,16832.54906403919,12982.846074834526
0,polygon,8,16875.169188648804,12982.846074834526
0,polygon,9,16960.409437868024,12977.163391553246
0,polygon,10,17014.394929040198,12980.004733193886
0,polygon,11,17054.173712009168,12988.528758115808
0,polygon,12,17108.15920318134,13005.576807959653
0,polygon,13,17150.77932779095,13025.466199444138
0,polygon,14,17187.71676911928,13051.038274209903
0,polygon,15,17213.288843885046,13085.134373897592
0,polygon,16,17247.384943572735,13147.643889991687
0,polygon,17,17281.481043260424,13218.677431007705
0,polygon,18,17295.687751463625,13266.980238898597
0,polygon,19,17324.101167870034,13335.172438273974
0,polygon,20,17326.942509510674,13380.633904524226
0,polygon,21,17318.418484588754,13417.571345852555
0,polygon,22,17304.21177638555,13454.508787180883
0,polygon,23,17295.687751463625,13508.494278353057
0,polygon,24,17290.005068182345,13556.797086243949
0,polygon,25,17275.79835997914,13590.893185931638
0,polygon,26,17224.65421044761,13653.402702025733
0,polygon,27,17150.77932779095,13718.75355976047
0,polygon,28,17079.745786774933,13750.008317807517
0,polygon,29,17037.125662165323,13761.373684370079
0,polygon,30,16997.346879196353,13769.897709292001
0,polygon,31,16929.154679820975,13767.056367651361
0,polygon,32,16855.279797164316,13741.484292885594
0,polygon,33,16781.40491450766,13696.022826635344
0,polygon,34,16690.481982007157,13624.989285619326
0,polygon,35,16627.972465913062,13556.797086243949
0,polygon,36,16591.035024584733,13485.763545227932
0,polygon,37,16582.51099966281,13426.095370774476
0,polygon,38,16579.66965802217,13383.475246164866
0,polygon,39,16582.51099966281,13340.855121555256
0,polygon,40,16591.035024584733,13298.234996945645
0,polygon,41,16613.765757709858,13272.662922179878
0,polygon,42,16636.496490834983,13252.773530695393
1,polygon,0,17815.653271700878,14136.430780934654
1,polygon,1,17809.970588419594,14088.12797304376
1,polygon,2,17801.446563497673,13994.363698902618
1,polygon,3,17801.446563497673,13948.902232652366
1,polygon,4,17804.287905138313,13920.48881624596
1,polygon,5,17818.494613341518,13877.868691636348
1,polygon,6,17838.384004826003,13840.93125030802
1,polygon,7,17855.432054669847,13815.359175542253
1,polygon,8,17872.480104513692,13786.945759135846
1,polygon,9,17892.369495998173,13761.373684370079
1,polygon,10,17920.782912404582,13735.801609604314
1,polygon,11,17949.19632881099,13707.388193197907
1,polygon,12,17986.13377013932,13678.9747767915
1,polygon,13,18008.864503264445,13650.561360385092
1,polygon,14,18040.11926131149,13630.671968900608
1,polygon,15,18085.580727561744,13605.09989413484
1,polygon,16,18148.09024365584,13596.575869212918
1,polygon,17,18196.39305154673,13596.575869212918
1,polygon,18,18244.695859437623,13605.09989413484
1,polygon,19,18287.315984047233,13616.465260697403
1,polygon,20,18327.094767016202,13630.671968900608
1,polygon,21,18395.28696639158,13664.768068588295
1,polygon,22,18423.700382797986,13690.340143354062
1,polygon,23,18437.90709100119,13715.912218119829
1,polygon,24,18452.113799204395,13789.787100776486
1,polygon,25,18457.796482485675,13846.6139335893
