index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,16840.2002636403,13187.831870528285
0,polygon,1,16831.67453059186,13156.570849350672
0,polygon,2,16823.14879754342,13116.784095124618
0,polygon,3,16820.306886527273,13059.945874801684
0,polygon,4,16820.306886527273,13008.791476511044
0,polygon,5,16848.72599668874,12943.42752313967
0,polygon,6,16885.67083989865,12912.166501962056
0,polygon,7,16951.03479327002,12897.956946881322
0,polygon,8,16999.347280544516,12897.956946881322
0,polygon,9,17030.608301722128,12900.79885789747
0,polygon,10,17070.395055948182,12912.166501962056
0,polygon,11,17101.656077125797,12932.059879075083
0,polygon,12,17124.39136525497,12951.95325618811
0,polygon,13,17147.126653384144,12986.05618838187
0,polygon,14,17172.703852529463,13059.945874801684
0,polygon,15,17184.07149659405,13165.096582399112
0,polygon,16,17184.07149659405,13221.934802722046
0,polygon,17,17169.861941513318,13261.7215569481
0,polygon,18,17155.652386432583,13318.559777271033
0,polygon,19,17141.44283135185,13361.188442513234
0,polygon,20,17121.549454238822,13383.923730642407
0,polygon,21,17093.130344077355,13392.449463690848
0,polygon,22,17047.65976781901,13389.6075526747
0,polygon,23,16999.347280544516,13366.872264545527
0,polygon,24,16948.192882253876,13327.085510319474
0,polygon,25,16902.72230599553,13290.140667109566
0,polygon,26,16857.25172973718,13244.67009085122
0,polygon,27,16843.042174656446,13219.0928917059
