index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,9910.1773512221,11453.745593428404
0,polygon,1,9910.1773512221,11359.11799276649
0,polygon,2,9924.196255023866,11313.556555410754
0,polygon,3,9931.205706924748,11278.509295906342
0,polygon,4,9938.215158825631,11236.452584501047
0,polygon,5,9952.234062627396,11201.405324996635
0,polygon,6,9969.757692379602,11162.85333954178
0,polygon,7,10029.338033537104,11089.254094582513
0,polygon,8,10102.93727849637,11033.178479375454
0,polygon,9,10141.489263951224,11015.654849623248
0,polygon,10,10187.05070130696,11005.140671771924
0,polygon,11,10229.107412712256,10991.121767970159
0,polygon,12,10271.164124117551,10984.112316069277
0,polygon,13,10313.220835522845,10980.607590118834
0,polygon,14,10369.296450729906,10980.607590118834
0,polygon,15,10418.362614036083,10987.617042019718
0,polygon,16,10477.942955193585,11022.66430152413
0,polygon,17,10502.476036846674,11054.206835078101
0,polygon,18,10527.009118499762,11117.291902186043
0,polygon,19,10551.542200152851,11159.348613591339
0,polygon,20,10562.056378004176,11204.910050947075
0,polygon,21,10569.065829905057,11296.032925658548
0,polygon,22,10576.07528180594,11341.594363014285
0,polygon,23,10576.07528180594,11387.155800370021
0,polygon,24,10555.046926103292,11425.707785824874
0,polygon,25,10516.49494064844,11460.755045329288
0,polygon,26,10463.92405139182,11499.30703078414
0,polygon,27,10421.867339986524,11520.33538648679
0,polygon,28,10365.791724779465,11537.859016238996
0,polygon,29,10330.744465275053,11544.868468139877
0,polygon,30,10267.659398167109,11551.87792004076
0,polygon,31,10225.602686761815,11551.87792004076
0,polygon,32,10123.965634199018,11544.868468139877
0,polygon,33,10078.404196843281,11534.354290288553
0,polygon,34,10025.833307586661,11520.33538648679
0,polygon,35,9994.290774032692,11502.811756734583
0,polygon,36,9962.748240478719,11474.773949131053
0,polygon,37,9924.196255023866,11446.736141527523
1,polygon,0,9440.544073862971,13192.08966484727
1,polygon,1,9440.544073862971,13150.032953441976
1,polygon,2,9437.03934791253,13058.910078730501
1,polygon,3,9444.048799813412,13002.834463523443
1,polygon,4,9461.57242956562,12950.263574266823
1,polygon,5,9479.096059317826,12894.187959059764
1,polygon,6,9493.114963119591,12841.617069803144
1,polygon,7,9517.648044772679,12778.532002695201
1,polygon,8,9542.181126425769,12732.970565339465
1,polygon,9,9601.76146758327,12697.923305835053
1,polygon,10,9696.389068245184,12676.894950132404
1,polygon,11,9745.455231551361,12673.390224181963
1,polygon,12,9819.054476510628,12673.390224181963
1,polygon,13,9966.252966429161,12704.932757735935
1,polygon,14,10032.842759487545,12736.475291289906
1,polygon,15,10060.880567091075,12761.008372942995
1,polygon,16,10078.404196843281,12792.550906496966
1,polygon,17,10102.93727849637,12855.635973604909
1,polygon,18,10120.460908248577,12904.702136911086
1,polygon,19,10137.984538000783,12946.758848316382
1,polygon,20,10166.022345604313,13030.872271126973
1,polygon,21,10173.031797505195,13090.452612284473
1,polygon,22,10169.527071554754,13167.556583194182
1,polygon,23,10162.51761965387,13209.613294599476
1,polygon,24,10144.993989901664,13251.670006004771
1,polygon,25,10113.451456347693,13300.736169310949
1,polygon,26,10081.908922793722,13328.77397691448
1,polygon,27,10050.36638923975,13353.307058567567
1,polygon,28,10018.82385568578,13374.335414270216
1,polygon,29,9962.748240478719,13402.373221873746
1,polygon,30,9910.1773512221,13412.88739972507
1,polygon,31,9854.10173601504,13433.915755427717
1,polygon,32,9791.016668907097,13454.944111130364
1,polygon,33,9731.436327749596,13454.944111130364
1,polygon,34,9668.351260641653,13437.420481378158
1,polygon,35,9636.808727087682,13416.392125675511
1,polygon,36,9577.22838593018,13363.821236418891
1,polygon,37,9552.695304277091,13328.77397691448
1,polygon,38,9528.162222624003,13286.717265509185
1,polygon,39,9507.133866921356,13241.155828153449
1,polygon,40,9479.096059317826,13206.108568649035
2,polygon,0,8946.377714850754,13602.142601048898
2,polygon,1,8946.377714850754,13546.066985841837
2,polygon,2,8953.387166751636,13465.458288981688
2,polygon,3,8967.406070553401,13409.382673774628
2,polygon,4,8974.415522454285,13370.830688319775
2,polygon,5,9033.995863611786,13286.717265509185
2,polygon,6,9076.05257501708,13265.688909806537
2,polygon,7,9135.632916174582,13237.651102203006
2,polygon,8,9191.708531381642,13220.1274724508
2,polygon,9,9254.793598489585,13220.1274724508
