index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,15183.056690108042,9633.201016439158
0,polygon,1,15183.056690108042,9516.62426905476
0,polygon,2,15196.00966203964,9451.85940939676
0,polygon,3,15204.644976660707,9395.729864359828
0,polygon,4,15230.550920523907,9335.282662012363
0,polygon,5,15252.139207076572,9279.15311697543
0,polygon,6,15299.633437492439,9227.34122924903
0,polygon,7,15355.762982529372,9201.43528538583
0,polygon,8,15433.480814118971,9184.164656143697
0,polygon,9,15493.928016466438,9175.529341522632
0,polygon,10,15627.775393092968,9175.529341522632
0,polygon,11,15688.222595440435,9188.482313454231
0,polygon,12,15735.7168258563,9214.38825731743
0,polygon,13,15778.893398961634,9253.24717311223
0,polygon,14,15822.069972066965,9300.741403528096
0,polygon,15,15835.022943998567,9343.91797663343
0,polygon,16,15852.293573240699,9425.953465533561
0,polygon,17,15860.928887861766,9499.353639812627
0,polygon,18,15860.928887861766,9564.118499470627
0,polygon,19,15856.611230551232,9611.612729886492
0,polygon,20,15830.705286688033,9676.377589544492
0,polygon,21,15783.211056272166,9736.824791891959
0,polygon,22,15744.352140477367,9762.730735755158
0,polygon,23,15688.222595440435,9805.90730886049
0,polygon,24,15632.093050403502,9836.130910034222
0,polygon,25,15588.91647729817,9849.083881965824
0,polygon,26,15541.422246882303,9862.036853897422
0,polygon,27,15485.29270184537,9874.989825829023
0,polygon,28,15420.527842187372,9883.625140450089
0,polygon,29,15342.810010597772,9874.989825829023
0,polygon,30,15299.633437492439,9862.036853897422
0,polygon,31,15247.82154976604,9827.495595413156
0,polygon,32,15217.597948592307,9792.954336928891
0,polygon,33,15200.327319350174,9741.14244920249
0,polygon,34,15191.692004729108,9697.965876097158
0,polygon,35,15187.374347418574,9654.789302991825
1,polygon,0,16879.89601314762,11623.641036595
1,polygon,1,16879.89601314762,11554.558519626467
1,polygon,2,16892.848985079218,11507.0642892106
1,polygon,3,16923.07258625295,11468.205373415802
1,polygon,4,16966.24915935828,11425.028800310469
1,polygon,5,17005.108075153083,11394.805199136736
1,polygon,6,17100.096535984816,11368.899255273536
1,polygon,7,17151.908423711215,11351.628626031405
1,polygon,8,17203.720311437613,11325.722682168203
1,polygon,9,17242.579227232414,11278.228451752337
1,polygon,10,17290.07345764828,11265.275479820739
1,polygon,11,17359.155974616813,11269.59313713127
1,polygon,12,17428.238491585344,11286.863766373404
1,polygon,13,17471.41506469068,11312.769710236604
1,polygon,14,17488.68569393281,11355.946283341937
1,polygon,15,17514.59163779601,11425.028800310469
1,polygon,16,17527.54460972761,11494.111317279003
1,polygon,17,17531.862267038145,11558.876176937001
1,polygon,18,17531.862267038145,11619.323379284466
1,polygon,19,17523.226952417077,11671.135267010866
1,polygon,20,17484.368036622276,11727.264812047799
1,polygon,21,17423.92083427481,11761.806070532064
1,polygon,22,17363.473631927343,11779.0766997742
1,polygon,23,17320.297058822012,11787.712014395265
1,polygon,24,17246.896884542948,11796.347329016331
1,polygon,25,17126.002479848015,11796.347329016331
1,polygon,26,17065.55527750055,11783.394357084731
1,polygon,27,17000.79041784255,11761.806070532064
1,polygon,28,16944.660872805616,11740.217783979399
1,polygon,29,16905.801957010815,11714.3118401162
2,polygon,0,18425.617330318535,16632.124043871383
2,polygon,1,18399.711386455336,16571.676841523917
2,polygon,2,18395.393729144802,16511.229639176454
2,polygon,3,18408.346701076403,16468.05306607112
2,polygon,4,18460.158588802802,16446.464779518454
2,polygon,5,18516.288133839735,16437.829464897386
2,polygon,6,18563.7823642556,16442.14712220792
2,polygon,7,18602.6412800504,16472.370723381653
2,polygon,8,18602.6412800504,16584.629813455518
2,polygon,9,18598.323622739867,16636.441701181917
2,polygon,10,18559.46470694507,16662.347645045116
2,polygon,11,18516.288133839735,16666.66530235565
2,polygon,12,18477.429218044934,16640.75935849245
3,polygon,0,18270.18166713934,17499.973163288574
3,polygon,1,18261.54635251827,17387.71407321471
3,polygon,2,18261.54635251827,17258.18435389871
3,polygon,3,18265.864009828805,17206.37246617231
3,polygon,4,18278.816981760403,17158.878235756445
3,polygon,5,18321.993554865738,17124.336977272178
3,polygon,6,18378.12309990267,17102.748690719513
3,polygon,7,18425.617330318535,17089.79571878791
3,polygon,8,18486.064532666,17137.289949203776
3,polygon,9,18507.652819218667,17223.643095414445
3,polygon,10,18507.652819218667,17335.90218548831
3,polygon,11,18503.335161908137,17379.07875859364
3,polygon,12,18494.69984728707,17422.255331698972
3,polygon,13,18464.476246113336,17508.608477909638
3,polygon,14,18429.93498762907,17564.73802294657
3,polygon,15,18386.758414523738,17573.37333756764
3,polygon,16,18317.675897555204,17564.73802294657
3,polygon,17,18261.54635251827,17512.926135220172
4,polygon,0,12693.21473265908,14220.989293394943
4,polygon,1,12690.78646536911,14146.522429835843
4,polygon,2,12690.78646536911,14129.524558806048
4,polygon,3,12692.40531022909,14111.717265346262
4,polygon,4,12701.308956958983,14085.006325156584
4,polygon,5,12705.356069108933,14075.293255996701
4,polygon,6,12718.306827988778,14051.010583096995
4,polygon,7,12740.161233598514,14019.443108327376
4,polygon,8,12750.683725188386,14009.730039167494
4,polygon,9,12772.538130798122,13993.54159056769
4,polygon,10,12800.86791584778,13977.353141967884
4,polygon,11,12819.484631737556,13969.258917667983
4,polygon,12,12843.767304637264,13961.16469336808
4,polygon,13,12891.523228006687,13949.832779348217
4,polygon,14,12913.377633616423,13948.213934488236
4,polygon,15,12960.324134555856,13947.404512058247
4,polygon,16,12999.176411195387,13945.785667198266
4,polygon,17,13018.602549515152,13945.785667198266
4,polygon,18,13056.645403724693,13953.879891498167
4,polygon,19,13076.880964474449,13956.308158788139
4,polygon,20,13093.878835504243,13959.5458485081
4,polygon,21,13110.067284104047,13966.830650378011
4,polygon,22,13120.589775693921,13974.924874677914
4,polygon,23,13134.349957003755,13983.019098977817
4,polygon,24,13150.538405603558,13995.969857857659
4,polygon,25,13178.868190653217,14023.490220477328
4,polygon,26,13191.00952710307,14037.250401787162
4,polygon,27,13199.913173832963,14051.010583096995
4,polygon,28,13209.626242992847,14063.151919546848
4,polygon,29,13218.529889722739,14080.149790576643
4,polygon,30,13226.624114022641,14106.051308336331
4,polygon,31,13233.908915892553,14135.190515815979
4,polygon,32,13242.003140192455,14172.42394759553
4,polygon,33,13250.097364492358,14234.749474704777
4,polygon,34,13250.906786922347,14267.935794334377
4,polygon,35,13249.287942062367,14279.267708354238
4,polygon,36,13249.287942062367,14331.880166303605
4,polygon,37,13244.431407482425,14358.59110649328
4,polygon,38,13238.765450472494,14381.254934533008
4,polygon,39,13221.7675794427,14409.584719582666
4,polygon,40,13210.435665422836,14425.77316818247
4,polygon,41,13178.868190653217,14454.91237566212
4,polygon,42,13143.253603733647,14479.195048561825
4,polygon,43,13123.018042983891,14488.908117721709
4,polygon,44,13099.544792514174,14492.14580744167
4,polygon,45,13050.170024284771,14495.38349716163
4,polygon,46,12894.760917726648,14496.19291959162
4,polygon,47,12856.718063517106,14490.526962581689
4,polygon,48,12840.529614917303,14485.670428001747
4,polygon,49,12814.628097157614,14472.719669121903
4,polygon,50,12804.105605567742,14465.434867251992
4,polygon,51,12793.58311397787,14454.91237566212
4,polygon,52,12774.156975658103,14431.439125192403
4,polygon,53,12758.777949488289,14407.156452292695
4,polygon,54,12747.446035468425,14383.683201822978
4,polygon,55,12735.304699018572,14356.972261633302
4,polygon,56,12731.257586868622,14344.830925183447
4,polygon,57,12703.737224248953,14274.411173774297
4,polygon,58,12684.311085929188,14200.753732645187
