index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,10870.367653345165,13885.757552533347
0,polygon,1,10877.374765407605,13812.18287587773
0,polygon,2,10887.885433501266,13759.629535409433
0,polygon,3,10929.928105875902,13693.061970816256
0,polygon,4,10964.963666188101,13654.522854472838
0,polygon,5,11024.524118718839,13601.96951400454
0,polygon,6,11059.559679031036,13587.955289879663
0,polygon,7,11098.098795374453,13584.451733848442
0,polygon,8,11147.148579811532,13584.451733848442
0,polygon,9,11206.709032342269,13591.458845910882
0,polygon,10,11255.758816779346,13615.98373812942
0,polygon,11,11294.297933122763,13651.019298441619
0,polygon,12,11325.829937403741,13707.076194941135
0,polygon,13,11350.354829622282,13759.629535409433
0,polygon,14,11371.376165809601,13801.672207784071
0,polygon,15,11392.397501996918,13857.729104283588
0,polygon,16,11402.908170090579,13903.275332689445
0,polygon,17,11409.915282153019,14008.38201362604
0,polygon,18,11409.915282153019,14127.502918687514
0,polygon,19,11402.908170090579,14162.538478999712
0,polygon,20,11371.376165809601,14208.084707405571
0,polygon,21,11339.844161528621,14229.106043592888
0,polygon,22,11297.801489153984,14246.623823748989
0,polygon,23,11210.212588373488,14253.630935811427
0,polygon,24,11129.630799655433,14246.623823748989
0,polygon,25,11077.077459187136,14225.60248756167
0,polygon,26,11003.50278253152,14187.06337121825
0,polygon,27,10968.46722221932,14155.531366937274
0,polygon,28,10933.431661907123,14116.992250593854
0,polygon,29,10905.403213657364,14078.453134250436
0,polygon,30,10887.885433501266,14036.4104618758
0,polygon,31,10884.381877470045,13973.346453313841
0,polygon,32,10873.871209376386,13903.275332689445
