index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,7770.176008076887,20404.81726465663
0,polygon,1,7759.654219043131,20391.058002074027
0,polygon,2,7746.704324847738,20354.636424649485
0,polygon,3,7740.229377750042,20322.261689161
0,polygon,4,7736.991904201193,20291.505690446942
0,polygon,5,7736.182535813981,20230.803061406037
0,polygon,6,7740.229377750042,20191.95337881986
0,polygon,7,7744.276219686101,20167.672327203498
0,polygon,8,7758.035482268707,20149.05685429762
0,polygon,9,7785.554007433917,20134.488223327804
0,polygon,10,7829.259900343368,20117.491487196352
0,polygon,11,7868.9189513167585,20106.160329775383
0,polygon,12,7928.81221197045,20090.78233041835
0,polygon,13,7944.999579714692,20089.163593643927
0,polygon,14,7967.66189455663,20089.97296203114
0,polygon,15,7988.705472624143,20095.638540741624
0,polygon,16,8014.605261014929,20106.969698162593
0,polygon,17,8046.979996503411,20125.585171068473
0,polygon,18,8095.542099736134,20147.438117523197
0,polygon,19,8120.632519739708,20161.1973801058
0,polygon,20,8132.7730455478895,20169.291063977922
0,polygon,21,8145.722939743282,20185.478431722164
0,polygon,22,8148.96041329213,20196.00022075592
0,polygon,23,8153.816623615403,20235.65927172931
0,polygon,24,8155.435360389827,20280.174533025973
0,polygon,25,8155.435360389827,20323.880425935426
0,polygon,26,8150.579150066555,20372.442529168147
0,polygon,27,8143.294834581646,20391.867370461237
0,polygon,28,8131.963677160677,20417.767158852024
0,polygon,29,8113.348204254799,20432.335789821842
0,polygon,30,8083.401573927954,20443.66694724281
0,polygon,31,8040.505049405714,20454.188736276566
0,polygon,32,8000.8459984323235,20459.04494659984
0,polygon,33,7931.240317132087,20459.85431498705
0,polygon,34,7860.0158990574255,20451.76063111493
0,polygon,35,7820.356848084035,20446.095052404446
0,polygon,36,7787.982112595553,20436.3826317579
0,polygon,37,7773.413481625736,20427.47957949857
0,polygon,38,7765.319797753615,20418.576527239235
