index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,19629.03708627147,12676.64542585256
0,polygon,1,19643.046162995895,12613.604580592644
0,polygon,2,19653.552970539215,12578.58188878158
0,polygon,3,19692.077931531385,12515.541043521664
0,polygon,4,19713.091546618023,12484.020620891706
0,polygon,5,19727.10062334245,12448.99792908064
0,polygon,6,19758.62104597241,12413.975237269577
0,polygon,7,19807.6528145079,12389.459353001832
0,polygon,8,19874.19592894892,12378.952545458513
0,polygon,9,19972.259466019903,12371.9480070963
0,polygon,10,20010.784427012073,12371.9480070963
0,polygon,11,20070.32300309088,12385.957083820726
0,polygon,12,20140.36838671301,12441.993390718428
0,polygon,13,20168.38654016186,12477.016082529492
0,polygon,14,20185.897886067396,12508.53650515945
0,polygon,15,20203.409231972928,12554.066004513834
0,polygon,16,20210.41377033514,12666.13861830924
0,polygon,17,20210.41377033514,12785.215770466859
0,polygon,18,20203.409231972928,12830.745269821244
0,polygon,19,20147.372925075222,12883.27930753784
0,polygon,20,20108.847964083052,12925.306537711118
0,polygon,21,20070.32300309088,12963.831498703288
0,polygon,22,20031.79804209871,12991.84965215214
0,polygon,23,19993.27308110654,12998.854190514352
0,polygon,24,19947.743581752155,13005.858728876567
0,polygon,25,19909.218620759984,13005.858728876567
0,polygon,26,19842.675506318963,12995.351921333246
0,polygon,27,19786.63919942126,12960.329229522182
0,polygon,28,19741.109700066874,12921.80426853001
0,polygon,29,19685.073393169172,12837.749808183456
0,polygon,30,19667.56204726364,12806.229385553499
0,polygon,31,19650.05070135811,12767.704424561327
0,polygon,32,19632.539355452576,12732.681732750263
1,polygon,0,18375.224719435362,15499.474385824353
1,polygon,1,18361.215642710937,15453.94488646997
1,polygon,2,18375.224719435362,15352.379080217883
1,polygon,3,18399.740603703107,15324.36092676903
1,polygon,4,18431.261026333064,15299.845042501285
1,polygon,5,18466.283718144132,15282.333696595753
1,polygon,6,18508.31094831741,15257.817812328009
1,polygon,7,18546.83590930958,15254.315543146902
1,polygon,8,18585.36087030175,15261.320081509115
1,polygon,9,18623.88583129392,15278.831427414647
1,polygon,10,18669.415330648306,15313.85411922571
1,polygon,11,18707.940291640476,15366.388156942308
1,polygon,12,18721.9493683649,15411.917656296693
1,polygon,13,18725.451637546008,15478.460770737714
1,polygon,14,18707.940291640476,15527.492539273204
1,polygon,15,18648.401715561664,15566.017500265376
1,polygon,16,18613.3790237506,15580.026576989801
1,polygon,17,18546.83590930958,15601.040192076442
1,polygon,18,18455.776910600813,15597.537922895333
1,polygon,19,18413.749680427532,15580.026576989801
1,polygon,20,18350.708835167618,15530.99480845431
2,polygon,0,18660.11499534142,18361.810749024637
2,polygon,1,18678.55119001456,18294.979543334513
2,polygon,2,18717.72810369498,18179.7533266274
2,polygon,3,18733.859774033976,18149.79451028355
2,polygon,4,18752.295968707112,18122.140218273842
2,polygon,5,18786.863833719246,18094.485926264137
2,polygon,6,18826.040747399664,18078.35425592514
2,polygon,7,18860.608612411797,18066.831634254428
2,polygon,8,18890.567428755647,18059.918061252003
2,polygon,9,18915.91719643121,18057.61353691786
2,polygon,10,18943.571488440917,18050.699963915435
2,polygon,11,18975.83482911891,18050.699963915435
2,polygon,12,19005.79364546276,18053.004488249575
2,polygon,13,19033.447937472465,18059.918061252003
2,polygon,14,19063.406753816314,18071.440682922715
2,polygon,15,19091.061045826023,18085.26782892757
2,polygon,16,19116.41081350159,18106.00854793485
2,polygon,17,19137.151532508866,18124.444742607986
2,polygon,18,19160.19677585029,18156.708083285976
2,polygon,19,19176.328446189287,18184.362375295685
2,polygon,20,19185.546543525856,18209.71214297125
2,polygon,21,19199.37368953071,18237.366434980955
2,polygon,22,19208.591786867277,18265.020726990664
2,polygon,23,19213.20083553556,18304.197640671082
2,polygon,24,19215.505359869705,18357.201700356352
2,polygon,25,19215.505359869705,18387.1605167002
2,polygon,26,19213.20083553556,18424.03290604648
2,polygon,27,19208.591786867277,18451.687198056185
2,polygon,28,19201.67821386485,18479.34149006589
2,polygon,29,19185.546543525856,18497.77768473903
2,polygon,30,19139.45605684301,18534.650074085304
2,polygon,31,19102.583667496732,18562.304366095013
2,polygon,32,19065.71127815046,18585.349609436435
2,polygon,33,19019.620791467612,18592.263182438863
2,polygon,34,18987.357450789623,18594.567706773003
2,polygon,35,18962.007683114058,18594.567706773003
2,polygon,36,18927.439818101924,18592.263182438863
2,polygon,37,18895.17647742393,18592.263182438863
2,polygon,38,18846.781466406945,18580.74056076815
2,polygon,39,18821.43169873138,18569.21793909744
2,polygon,40,18784.559309385102,18548.47722009016
2,polygon,41,18759.209541709537,18527.73650108288
2,polygon,42,18738.46882270226,18506.9957820756
2,polygon,43,18722.337152363263,18483.950538734178
2,polygon,44,18710.81453069255,18463.209819726897
2,polygon,45,18696.987384687698,18433.251003383048
2,polygon,46,18673.942141346277,18396.37861403677
2,polygon,47,18662.419519675565,18373.33337069535
2,polygon,48,18660.11499534142,18343.3745543515
