index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,9237.900607820939,15757.541163726062
0,polygon,1,9229.263562777684,15710.03741598816
0,polygon,2,9224.945040256056,15615.029920512356
0,polygon,3,9237.900607820939,15563.207650252829
0,polygon,4,9263.811742950702,15520.022425036554
0,polygon,5,9298.35992312372,15468.200154777025
0,polygon,6,9354.500715904878,15442.28901964726
0,polygon,7,9432.23412129417,15442.28901964726
0,polygon,8,9492.693436596954,15450.926064690515
0,polygon,9,9548.834229378112,15507.066857471671
0,polygon,10,9566.10831946462,15554.570605209574
0,polygon,11,9570.426841986247,15602.074352947475
0,polygon,12,9535.878661813229,15675.489235815141
0,polygon,13,9497.011959118581,15714.355938509787
0,polygon,14,9453.826733902308,15766.178208769315
0,polygon,15,9414.960031207662,15787.770821377453
0,polygon,16,9363.137760948131,15779.133776334198
0,polygon,17,9324.271058253486,15757.541163726062
0,polygon,18,9281.085833037212,15735.948551117923
1,polygon,0,19389.204799558807,12257.699336078344
1,polygon,1,19389.204799558807,12204.682881818153
1,polygon,2,19391.509862787512,12153.971490786666
1,polygon,3,19405.340242159735,12124.005668813516
1,polygon,4,19423.780747989367,12094.039846840364
1,polygon,5,19449.136443505107,12064.074024867214
1,polygon,6,19472.18707579215,12038.71832935147
1,polygon,7,19495.23770807919,12024.887949979247
1,polygon,8,19529.813656509745,12015.667697064431
1,polygon,9,19566.69466816901,12013.362633835728
1,polygon,10,19605.880743056976,12011.057570607023
1,polygon,11,19640.456691487536,12011.057570607023
1,polygon,12,19668.11745023198,12013.362633835728
1,polygon,13,19700.388335433836,12024.887949979247
1,polygon,14,19718.82884126347,12050.24364549499
1,polygon,15,19730.35415740699,12082.514530696844
1,polygon,16,19739.574410321802,12130.920858499627
1,polygon,17,19741.879473550507,12153.971490786666
1,polygon,18,19739.574410321802,12195.462628903337
1,polygon,19,19723.438967720875,12239.258830248711
1,polygon,20,19698.083272205135,12299.190474195013
1,polygon,21,19670.422513460686,12331.461359396868
1,polygon,22,19622.016185657903,12363.732244598723
1,polygon,23,19566.69466816901,12386.782876885763
1,polygon,24,19520.593403594932,12393.698066571875
1,polygon,25,19490.62758162178,12393.698066571875
1,polygon,26,19465.271886106035,12386.782876885763
1,polygon,27,19433.00100090418,12338.376549082981
1,polygon,28,19416.865558303252,12299.190474195013
1,polygon,29,19412.255431845846,12273.834778679271
2,polygon,0,24266.71971701547,14724.118116310701
2,polygon,1,24266.71971701547,14680.321914965327
2,polygon,2,24269.02478024417,14629.61052393384
2,polygon,3,24271.329843472875,14597.339638731984
2,polygon,4,24278.245033158986,14571.98394321624
2,polygon,5,24282.855159616396,14548.933310929202
2,polygon,6,24292.07541253121,14493.611793440308
2,polygon,7,24305.905791903435,14461.340908238453
2,polygon,8,24326.65136096177,14440.595339180118
2,polygon,9,24354.312119706217,14424.45989657919
2,polygon,10,24400.413384280295,14412.93458043567
2,polygon,11,24439.59945916826,14412.93458043567
2,polygon,12,24492.615913428453,14417.544706893079
2,polygon,13,24538.71717800253,14431.375086265301
2,polygon,14,24564.072873518275,14442.90040240882
2,polygon,15,24591.73363226272,14456.730781781045
2,polygon,16,24614.78426454976,14465.951034695861
2,polygon,17,24647.055149751613,14477.47635083938
2,polygon,18,24672.410845267357,14498.221919897716
2,polygon,19,24706.986793697917,14542.01812124309
2,polygon,20,24736.952615671067,14595.034575503281
2,polygon,21,24753.088058271995,14629.61052393384
2,polygon,22,24762.30831118681,14659.576345906991
2,polygon,23,24762.30831118681,14701.06748402366
2,polygon,24,24748.47793181459,14731.033305996812
2,polygon,25,24718.51210984144,14767.914317656076
2,polygon,26,24660.88552912384,14804.795329315337
2,polygon,27,24612.479201321057,14832.456088059786
2,polygon,28,24550.24249414605,14843.981404203305
2,polygon,29,24481.090597284932,14843.981404203305
2,polygon,30,24409.63363719511,14834.761151288489
2,polygon,31,24331.26148741918,14811.71051900145
2,polygon,32,24273.63490670158,14788.65988671441
2,polygon,33,24255.194400871947,14772.524444113484
3,polygon,0,23333.892260271463,12371.731890581941
3,polygon,1,23319.684128772104,12340.474001283346
3,polygon,2,23316.84250247223,12309.216111984751
3,polygon,3,23316.84250247223,12260.908464886921
3,polygon,4,23319.684128772104,12206.917565189347
3,polygon,5,23333.892260271463,12158.609918091519
3,polygon,6,23362.308523270185,12118.827149893306
3,polygon,7,23393.566412568784,12090.410886894582
3,polygon,8,23427.66592816725,12070.519502795476
3,polygon,9,23456.082191165973,12064.83625019573
3,polygon,10,23515.756343463294,12061.99462389586
3,polygon,11,23572.58886946074,12067.677876495603
3,polygon,12,23606.688385059206,12076.202755395221
3,polygon,13,23632.26302175806,12107.460644693816
3,polygon,14,23652.154405857164,12152.926665491774
3,polygon,15,23669.2041636564,12204.075938889475
3,polygon,16,23677.729042556013,12280.799848986027
3,polygon,17,23677.729042556013,12371.731890581941
3,polygon,18,23672.045789956268,12411.514658780154
3,polygon,19,23654.996032157036,12451.297426978366
3,polygon,20,23632.26302175806,12479.71368997709
3,polygon,21,23583.95537466023,12496.763447776324
3,polygon,22,23547.01423276189,12502.44670037607
3,polygon,23,23478.815201564954,12502.44670037607
3,polygon,24,23430.507554467124,12499.605074076197
3,polygon,25,23387.88315996904,12476.872063677218
3,polygon,26,23350.9420180707,12428.56441657939
4,polygon,0,22603.594301204277,12550.754347473898
4,polygon,1,22600.752674904405,12468.347184777602
4,polygon,2,22600.752674904405,12428.56441657939
4,polygon,3,22603.594301204277,12380.256769481559
4,polygon,4,22612.119180103895,12348.998880182964
4,polygon,5,22632.010564203003,12309.216111984751
4,polygon,6,22668.951706101343,12289.324727885645
4,polygon,7,22714.417726899297,12275.116596386284
4,polygon,8,22768.408626596873,12263.750091186794
4,polygon,9,22830.924405194062,12258.066838587049
4,polygon,10,22910.489941590487,12252.383585987305
