index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,15524.459073811318,20413.086978492636
0,polygon,1,15522.154318530607,20334.725298948404
0,polygon,2,15526.763829092031,20293.239703895575
0,polygon,3,15535.982850214883,20254.05886412346
0,polygon,4,15577.46844526771,20214.878024351343
0,polygon,5,15616.649285039826,20194.13522682493
0,polygon,6,15653.52536953123,20182.611450421366
0,polygon,7,15704.229985706908,20171.087674017803
0,polygon,8,15748.020336040448,20171.087674017803
0,polygon,9,15801.02970749684,20184.91620570208
0,polygon,10,15858.648589514658,20224.097045474195
0,polygon,11,15920.8769820939,20288.63019333415
0,polygon,12,15939.315024339601,20316.2872567027
0,polygon,13,15946.22929018174,20346.249075351967
0,polygon,14,15948.534045462453,20380.820404562655
0,polygon,15,15932.400758497464,20424.6107548962
0,polygon,16,15920.8769820939,20445.353552422614
0,polygon,17,15854.039078953232,20532.934253089694
0,polygon,18,15830.991526146106,20551.372295335397
0,polygon,19,15801.02970749684,20562.89607173896
0,polygon,20,15759.544112444013,20567.505582300386
0,polygon,21,15655.830124811942,20567.505582300386
0,polygon,22,15625.868306162678,20562.89607173896
0,polygon,23,15602.82075335555,20555.98180589682
0,polygon,24,15582.077955829136,20544.458029493257
0,polygon,25,15563.639913583434,20528.324742528268
0,polygon,26,15545.201871337733,20509.88670028257
0,polygon,27,15522.154318530607,20484.534392194728
0,polygon,28,15506.021031565619,20447.658307703325
0,polygon,29,15499.10676572348,20424.6107548962
1,polygon,0,16220.495168586549,20625.1244643182
1,polygon,1,16199.752371060134,20606.6864220725
1,polygon,2,16195.142860498709,20576.724603423234
1,polygon,3,16192.838105217996,20539.84851893183
1,polygon,4,16192.838105217996,20491.448658036865
1,polygon,5,16206.666636902273,20447.658307703325
1,polygon,6,16222.799923867262,20422.305999615484
1,polygon,7,16243.542721393675,20392.34418096622
1,polygon,8,16259.676008358665,20364.68711759767
1,polygon,9,16285.028316446504,20337.030054229115
1,polygon,10,16317.29489037648,20320.896767264127
1,polygon,11,16354.170974867884,20304.763480299138
1,polygon,12,16460.189717780668,20270.19215108845
1,polygon,13,16497.06580227207,20267.887395807735
1,polygon,14,16533.941886763474,20270.19215108845
1,polygon,15,16563.903705412737,20286.325438053438
1,polygon,16,16589.256013500577,20318.592011983415
1,polygon,17,16619.217832149843,20369.296628159093
1,polygon,18,16630.741608553406,20403.867957369785
1,polygon,19,16651.48440607982,20473.010615791165
1,polygon,20,16658.398671921957,20542.153274212546
1,polygon,21,16660.703427202672,20620.514953756778
1,polygon,22,16656.093916641246,20708.095654423858
1,polygon,23,16642.26538495697,20731.143207230984
1,polygon,24,16616.91307686913,20751.886004757398
1,polygon,25,16570.817971254877,20763.40978116096
1,polygon,26,16508.589578675634,20770.3240470031
1,polygon,27,16450.970696657816,20772.628802283813
1,polygon,28,16372.609017113586,20772.628802283813
1,polygon,29,16342.647198464321,20768.019291722387
1,polygon,30,16305.771113972918,20754.190760038113
1,polygon,31,16259.676008358665,20712.705164985284
1,polygon,32,16229.714189709399,20675.82908049388
1,polygon,33,16204.36188162156,20638.952996002477
2,polygon,0,16580.03699237773,18696.044294361694
2,polygon,1,16580.03699237773,18730.615623572387
2,polygon,2,16573.122726535592,18758.272686940938
2,polygon,3,16561.59895013203,18781.320239748064
2,polygon,4,16536.24664204419,18806.672547835904
2,polygon,5,16506.284823394923,18827.41534536232
2,polygon,6,16480.932515307086,18843.548632327307
2,polygon,7,16434.83740969283,18852.76765345016
2,polygon,8,16393.351814640002,18855.07240873087
2,polygon,9,16351.866219587175,18852.76765345016
2,polygon,10,16324.209156218622,18852.76765345016
2,polygon,11,16298.856848130783,18850.462898169444
2,polygon,12,16257.371253077954,18848.158142888733
2,polygon,13,16225.104679147977,18848.158142888733
2,polygon,14,16190.533349937286,18827.41534536232
2,polygon,15,16176.70481825301,18806.672547835904
2,polygon,16,16169.790552410872,18781.320239748064
2,polygon,17,16162.876286568735,18751.358421098797
2,polygon,18,16160.571531288022,18712.177581326683
2,polygon,19,16160.571531288022,18656.86345458958
2,polygon,20,16162.876286568735,18613.073104256036
2,polygon,21,16181.314328814437,18569.282753922496
2,polygon,22,16202.05712634085,18530.101914150382
2,polygon,23,16220.49516858655,18497.835340220405
2,polygon,24,16257.371253077954,18472.483032132564
2,polygon,25,16296.55209285007,18454.044989886865
2,polygon,26,16328.818666780047,18442.5212134833
2,polygon,27,16365.69475127145,18440.216458202587
2,polygon,28,16395.656569920717,18440.216458202587
2,polygon,29,16432.53265441212,18444.825968764013
2,polygon,30,16513.199089237063,18472.483032132564
2,polygon,31,16543.160907886326,18490.921074378268
2,polygon,32,16566.208460693455,18518.57813774682
2,polygon,33,16586.951258219866,18578.501775045348
2,polygon,34,16591.56076878129,18615.37785953675
3,polygon,0,17716.28134576908,21321.160559093434
3,polygon,1,17734.71938801478,21277.370208759894
3,polygon,2,17762.376451383334,21228.970347864928
3,polygon,3,17783.119248909745,21208.227550338514
3,polygon,4,17810.7763122783,21185.179997531388
3,polygon,5,17836.128620366137,21171.35146584711
3,polygon,6,17912.185544629658,21141.389647197844
3,polygon,7,17949.06162912106,21132.170626074996
3,polygon,8,17979.023447770323,21127.56111551357
3,polygon,9,18011.2900217003,21125.256360232856
3,polygon,10,18048.166106191704,21125.256360232856
3,polygon,11,18071.213658998833,21129.86587079428
3,polygon,12,18117.308764613084,21155.21817888212
3,polygon,13,18144.965827981636,21171.35146584711
3,polygon,14,18168.013380788765,21196.70377393495
3,polygon,15,18188.75617831518,21249.713145391343
3,polygon,16,18193.365688876605,21279.674964040605
3,polygon,17,18195.670444157317,21325.77006965486
3,polygon,18,18195.670444157317,21371.865175269115
3,polygon,19,18174.927646630902,21438.70307840978
3,polygon,20,18158.794359665913,21459.445875936195
3,polygon,21,18110.394498770947,21484.798184024035
3,polygon,22,18048.166106191704,21494.017205146887
3,polygon,23,17907.576034068232,21500.931470989024
3,polygon,24,17720.890856330505,21436.39832312907
3,polygon,25,17704.757569365516,21362.646154146263
3,polygon,26,17709.367079926942,21334.98909077771
4,polygon,0,17990.547224173886,20078.8974627893
4,polygon,1,17958.28065024391,20060.4594205436
4,polygon,2,17937.537852717494,20035.10711245576
4,polygon,3,17926.01407631393,20009.75480436792
4,polygon,4,17919.099810471795,19984.40249628008
4,polygon,5,17919.099810471795,19956.745432911528
4,polygon,6,17921.404565752506,19929.088369542977
4,polygon,7,17935.233097436783,19885.298019209436
4,polygon,8,17955.975894963198,19853.03144527946
4,polygon,9,17992.8519794546,19832.288647753045
4,polygon,10,18032.032819226715,19811.54585022663
4,polygon,11,18073.518414279544,19797.717318542353
4,polygon,12,18138.0515621395,19781.584031577364
4,polygon,13,18174.927646630902,19781.584031577364
4,polygon,14,18200.279954718742,19783.88878685808
4,polygon,15,18246.375060332994,19800.022073823067
4,polygon,16,18274.03212370155,19811.54585022663
4,polygon,17,18294.77492122796,19825.374381910904
4,polygon,18,18310.908208192952,19843.812424156607
4,polygon,19,18327.04149515794,19866.859976963733
4,polygon,20,18331.651005719363,19908.345572016562
4,polygon,21,18331.651005719363,19979.792985718654
4,polygon,22,18324.736739877226,20009.75480436792
4,polygon,23,18301.6891870701,20039.716623017186
4,polygon,24,18278.641634262975,20058.154665262886
4,polygon,25,18248.67981561371,20071.983196947163
4,polygon,26,18218.717996964442,20088.116483912152
4,polygon,27,18184.146667753754,20104.24977087714
